ReEDS region,Marginal Generation Price (in 2014$/MWh),Source_Marginal Generation Price ,Escalation factor (EIA Reference case)
1,39.67019818,Alternative ReEDS region LMP,1.19
2,39.67019818,Alternative ReEDS region LMP,1.19
3,39.67019818,Alternative ReEDS region LMP,1.19
4,39.67019818,Alternative ReEDS region LMP,1.19
5,39.67019818,Partial LMP,1.19
6,39.67019818,Alternative ReEDS region LMP,1.19
7,39.67019818,Alternative ReEDS region LMP,1.19
8,39.65703163,Alternative ReEDS region LMP,1.19
9,39.65703163,Partial LMP,1.19
10,39.65703163,Alternative ReEDS region LMP,1.19
11,39.65703163,Alternative ReEDS region LMP,1.19
12,39.65703163,Alternative ReEDS region LMP,1.19
13,39.79883333,Alternative ReEDS region LMP,1.19
14,39.79883333,Alternative ReEDS region LMP,1.19
15,39.79883333,Partial LMP,1.19
16,39.66123213,Partial LMP,1.19
17,39.64359772,Partial LMP,1.19
18,39.64359772,Alternative ReEDS region LMP,1.19
19,39.64359772,Alternative ReEDS region LMP,1.19
20,45.22092612,LMP,0.99
21,44.05642971,LMP,0.99
22,46.76576227,LMP,0.99
23,46.85006935,LMP,0.99
24,46.52437485,LMP,0.99
25,46.96209931,LMP,0.99
26,46.6073435,LMP,0.99
27,52.10726677,LMP,0.99
28,44.40231873,LMP,0.99
29,46.3245547,LMP,0.99
30,46.25679825,LMP,0.99
31,47.74863977,LMP,0.99
32,48.93623809,LMP,0.99
33,46.48992918,LMP,0.99
34,86.88302426,MMC (lambda),1.08
35,86.88302426,MMC (lambda),1.08
36,86.88302426,MMC (lambda),1.08
37,86.88302426,MMC (lambda),1.08
38,44.47817714,LMP,1.08
39,83.21486695,MMC (lambda),1.08
40,83.21486695,MMC (lambda),1.08
41,34.10479713,Alternative ReEDS region LMP,1.19
42,34.10479713,Alternative ReEDS region LMP,1.19
43,34.10479713,Alternative ReEDS region LMP,1.19
44,34.10479713,Alternative ReEDS region LMP,1.19
45,34.10479713,Alternative ReEDS region LMP,1.19
46,34.10479713,Partial LMP,1.19
47,34.49087847,Partial LMP,1.19
48,34.12145091,Partial LMP,1.08
49,34.11534637,Partial LMP,1.08
50,34.11534637,Alternative ReEDS region LMP,1.08
51,34.11534637,Alternative ReEDS region LMP,1.08
52,34.11534637,Alternative ReEDS region LMP,1.08
53,25.5366399,MMC (lambda),1.08
54,25.5366399,MMC (lambda),1.08
55,25.5366399,MMC (lambda),1.08
56,25.5366399,MMC (lambda),1.08
57,40.5752814,LMP,1.08
58,25.5366399,MMC (lambda),1.08
59,40.19378396,MMC (lambda),1.08
60,34.09262798,Alternative ReEDS region LMP,1.1
61,34.09262798,Alternative ReEDS region LMP,1.1
62,34.09262798,Alternative ReEDS region LMP,1.1
63,34.09262798,Alternative ReEDS region LMP,1.1
64,34.09262798,Alternative ReEDS region LMP,1.1
65,34.09262798,Alternative ReEDS region LMP,1.1
66,34.09262798,Alternative ReEDS region LMP,1.1
67,34.09262798,Alternative ReEDS region LMP,1.1
68,34.09262798,Alternative ReEDS region LMP,1.1
69,34.09262798,Alternative ReEDS region LMP,1.1
70,34.09262798,Alternative ReEDS region LMP,1.1
71,34.09262798,Partial LMP,1.1
72,34.09262798,Alternative ReEDS region LMP,1.1
73,34.78155928,Alternative ReEDS region LMP,1.1
74,34.78155928,Partial LMP,1.1
75,22.98098309,MMC (lambda),1.1
76,22.98098309,MMC (lambda),1.1
77,34.78155928,Alternative ReEDS region LMP,1.1
78,34.78155928,Alternative ReEDS region LMP,1.1
79,34.78155928,Alternative ReEDS region LMP,1.1
