,ReEDS region,Marginal Generation Price (in 2014$/MWh),Source_Marginal Generation Price ,Escalation factor (EIA Reference case),Marginal Generation Price (in 2014$/MWh)_esc
0,1,39.67019818,Alternative ReEDS region LMP,1.19,47.2075358342
1,2,39.67019818,Alternative ReEDS region LMP,1.19,47.2075358342
2,3,39.67019818,Alternative ReEDS region LMP,1.19,47.2075358342
3,4,39.67019818,Alternative ReEDS region LMP,1.19,47.2075358342
4,5,39.67019818,Partial LMP,1.19,47.2075358342
5,6,39.67019818,Alternative ReEDS region LMP,1.19,47.2075358342
6,7,39.67019818,Alternative ReEDS region LMP,1.19,47.2075358342
7,8,39.65703163,Alternative ReEDS region LMP,1.19,47.1918676397
8,9,39.65703163,Partial LMP,1.19,47.1918676397
9,10,39.65703163,Alternative ReEDS region LMP,1.19,47.1918676397
10,11,39.65703163,Alternative ReEDS region LMP,1.19,47.1918676397
11,12,39.65703163,Alternative ReEDS region LMP,1.19,47.1918676397
12,13,39.79883333,Alternative ReEDS region LMP,1.19,47.3606116627
13,14,39.79883333,Alternative ReEDS region LMP,1.19,47.3606116627
14,15,39.79883333,Partial LMP,1.19,47.3606116627
15,16,39.66123213,Partial LMP,1.19,47.1968662347
16,17,39.64359772,Partial LMP,1.19,47.1758812868
17,18,39.64359772,Alternative ReEDS region LMP,1.19,47.1758812868
18,19,39.64359772,Alternative ReEDS region LMP,1.19,47.1758812868
19,20,45.22092612,LMP,0.99,44.7687168588
20,21,44.05642971,LMP,0.99,43.6158654129
21,22,46.76576227,LMP,0.99,46.2981046473
22,23,46.85006935,LMP,0.99,46.3815686565
23,24,46.52437485,LMP,0.99,46.0591311015
24,25,46.96209931,LMP,0.99,46.4924783169
25,26,46.6073435,LMP,0.99,46.141270065
26,27,52.10726677,LMP,0.99,51.5861941023
27,28,44.40231873,LMP,0.99,43.9582955427
28,29,46.3245547,LMP,0.99,45.861309153
29,30,46.25679825,LMP,0.99,45.7942302675
30,31,47.74863977,LMP,0.99,47.2711533723
31,32,48.93623809,LMP,0.99,48.4468757091
32,33,46.48992918,LMP,0.99,46.0250298882
33,34,86.88302426,MMC (lambda),1.08,93.8336662008
34,35,86.88302426,MMC (lambda),1.08,93.8336662008
35,36,86.88302426,MMC (lambda),1.08,93.8336662008
36,37,86.88302426,MMC (lambda),1.08,93.8336662008
37,38,44.47817714,LMP,1.08,48.0364313112
38,39,83.21486695,MMC (lambda),1.08,89.872056306
39,40,83.21486695,MMC (lambda),1.08,89.872056306
40,41,34.10479713,Alternative ReEDS region LMP,1.19,40.5847085847
41,42,34.10479713,Alternative ReEDS region LMP,1.19,40.5847085847
42,43,34.10479713,Alternative ReEDS region LMP,1.19,40.5847085847
43,44,34.10479713,Alternative ReEDS region LMP,1.19,40.5847085847
